sim_id,eps,b,Rp_um,L_um,solver_ok,Q05_Ah,Q3_Ah,Q_ratio,dV_3C
0,0.3332292137358728,1.247170841170186,7.755707010400444,92.40361843869232,True,5.395150524530743,0.9876951605286789,0.1830709182325522,1.210018525834542
1,0.32750699492542956,2.4377682832362724,7.781194301490049,81.68962710626255,True,4.7689012192691385,0.180162759412413,0.0377786729329705,0.269165897711531
2,0.39507911034122256,1.5104122105465785,11.268146009878837,81.23329557550181,True,4.651455791158328,2.993885404947554,0.6436448155948188,0.9877427776436978
3,0.3006852714647932,1.041382928790047,7.272782929005863,77.66477425751968,True,4.550111646439943,4.041881816361492,0.8883038770101179,0.44631359612287147
4,0.3204978602931037,1.1529521370579219,8.330861844140037,88.8065751020395,True,5.173882227142528,4.249660434970041,0.8213678333604197,0.6446748767844084
5,0.40378056254209277,2.106734105523903,7.085146509878026,135.9998095495405,True,6.059168323556811,0.19551700228885868,0.032267960196571605,0.25637206024078596
6,0.28749883740274873,1.678604020969111,10.412666394981365,103.90802883053956,True,5.974819388152817,0.2089728887104352,0.034975599283351984,0.2608092763803338
7,0.42202188539317426,1.982737713285068,7.691276189220461,58.37146206204046,True,3.40660894530914,2.9087596844952763,0.8538578190785895,0.4903529526103556
8,0.2874523048445583,1.4497221552204738,2.812652220943621,89.3214737888412,True,5.299954428201545,0.291555418122058,0.05501092925830924,0.2664706969079158
9,0.3561489566720465,2.4973932213053303,2.6388654532547458,112.47485837023928,True,6.058764681214516,0.1706884274774678,0.028172150010495584,0.2607205404284749
10,0.3592678420868959,1.7906254913529565,6.586498674489989,129.4559435011378,True,6.059145844726015,0.20663917909167417,0.034103681341741666,0.25519722650101917
11,0.3215792579168814,1.2333964267318773,10.28306260810485,90.08202523532314,True,5.195053114813822,1.4158295605379412,0.272534183818192,1.2272585925804367
12,0.32397198788216214,1.766395185637293,5.374000458987625,76.5046686978612,True,4.517191555816517,0.28474616467479164,0.06303610576534906,0.27276295525679384
13,0.3545631114279123,2.390001361857556,8.341474173106867,106.21486719360401,True,6.057133701847329,0.17807233570268177,0.029398779103781802,0.26861057699450663
14,0.2861659921590793,2.2145734441030354,2.8993010150093617,102.2398461466909,True,6.023058576075104,0.16794916497763557,0.027884365203547267,0.27031845441752944
15,0.3119881857482478,2.1148966778453926,4.922173819467594,129.5255750514163,True,6.059124066600536,0.16953885636461716,0.027980753406116787,0.27071208862262264
16,0.3248260489428,1.0970848154495065,2.7572039641962727,70.77632224558718,True,4.217550162380796,4.051309103933065,0.9605835017848635,0.42020517749429587
