sim_id,eps,b,Rp_um,L_um,solver_ok,Q05_Ah,Q3_Ah,Q_ratio,dV_3C
0,0.3332292137358728,1.247170841170186,7.755707010400444,92.40361843869232,True,5.3951551671516675,3.7400749140867666,0.6932284240605654,0.5018421705573948
1,0.32750699492542956,2.4377682832362724,7.781194301490049,81.68962710626255,True,4.768762815009854,0.5108076309506123,0.10711533594055607,0.42013653689324126
2,0.39507911034122256,1.5104122105465785,11.268146009878837,81.23329557550181,True,4.651452083719278,3.584305306108906,0.7705777124211314,0.5022110001774531
3,0.3006852714647932,1.041382928790047,7.272782929005863,77.66477425751968,True,4.550111940968301,4.018024199936361,0.8830605163268341,0.4461095977121068
4,0.3204978602931037,1.1529521370579219,8.330861844140037,88.8065751020395,True,5.173888119068415,4.001538297502891,0.773410287469337,0.4707689855504662
5,0.40378056254209277,2.106734105523903,7.085146509878026,135.9998095495405,True,6.059042448863628,0.806122294698467,0.13304450356667413,0.6171864823759905
6,0.28749883740274873,1.678604020969111,10.412666394981365,103.90802883053956,True,5.9745334020072125,1.0207480971998264,0.17084984358057057,0.6895285943874376
7,0.42202188539317426,1.982737713285068,7.691276189220461,58.37146206204046,True,3.4066145942097212,2.90332974096016,0.8522624619453569,0.4799992741271164
8,0.2874523048445583,1.4497221552204738,2.812652220943621,89.3214737888412,True,5.299964483877754,2.836054237620301,0.5351081589786962,0.5880077127475549
9,0.3561489566720465,2.4973932213053303,2.6388654532547458,112.47485837023928,True,6.058602421653838,0.5019441999019506,0.08284818262838464,0.4263085682801946
10,0.3592678420868959,1.7906254913529565,6.586498674489989,129.4559435011378,True,6.059013576400694,1.087699407789946,0.17951757230359017,0.6906039740670304
11,0.3215792579168814,1.2333964267318773,10.28306260810485,90.08202523532314,True,5.195044908093356,3.757894491772787,0.7233613102975041,0.500483332274603
12,0.32397198788216214,1.766395185637293,5.374000458987625,76.5046686978612,True,4.517194872877089,2.6056435688934854,0.5768277973878733,0.6240526415666885
13,0.3545631114279123,2.390001361857556,8.341474173106867,106.21486719360401,True,6.0568014934213,0.4886735182222818,0.08068177878259061,0.41129487890134175
14,0.2861659921590793,2.2145734441030354,2.8993010150093617,102.2398461466909,True,6.0219458031340185,0.4916915447813652,0.08164994519304254,0.40993346456958424
15,0.3119881857482478,2.1148966778453926,4.922173819467594,129.5255750514163,True,6.0589834555958975,0.4682849881902912,0.07728771527801369,0.40686583256315645
16,0.3248260489428,1.0970848154495065,2.7572039641962727,70.77632224558718,True,4.217552546781343,4.037876868482307,0.9573981174375273,0.41868948907865455
17,0.44192238048406174,1.5651724619580758,8.223927076635903,115.63661621103239,True,6.058700630998963,3.152725094620951,0.5203632406741191,0.6016875294257655
18,0.2931874607387722,1.050074545385601,11.234708486291556,87.78733772485901,True,5.033427173600086,3.933259584420078,0.7814277327880501,0.47971880099073383
19,0.28864504453058987,1.676003562613955,4.077214839238294,136.63472458059022,True,6.059072048462222,0.7336879376147147,0.12108915882604877,0.588269930582566
20,0.3759935333490722,2.24619520985392,2.53592989807667,62.09748621860415,True,3.706886450852861,2.5208006638825236,0.68003179954502,0.5804435096022016
21,0.30966306947378364,2.494682464104418,9.631388203247019,77.15921552463868,True,4.4571992501851625,0.43431566098373514,0.09744138339018446,0.3859730198559381
22,0.36609129189878215,1.2298742164186725,7.654238439486433,56.1336655831215,True,3.2755082506268085,2.801050949398551,0.855150021027282,0.43320574891398067
23,0.4072070767165762,1.6739642340804277,6.063492439554261,118.77663728330965,True,6.058913752832954,2.1821657265378045,0.3601579120543668,0.6197277150081772
24,0.35349424592810297,1.545934262560513,6.109409970489397,57.921714605095275,True,3.411964580238901,3.0675372537435597,0.8990530767845119,0.4588423321063839
25,0.43938277064128983,1.101475219649642,6.788670650192702,95.58638706301936,True,5.600033360029564,4.346698994556705,0.7761916251394899,0.4320316839529137
26,0.3354388061731629,1.9722123323581309,11.807753192489281,81.03774912971697,True,4.620788876179341,1.60990839309747,0.3484055290638184,0.7587813674750423
27,0.40188180676821694,2.242073048202592,8.367721118550833,59.12589364858422,True,3.435200844616738,2.7926099052568945,0.8129393393789944,0.5510558441194773
28,0.3388789936869472,1.0460655853232936,8.069116136085304,134.47145235721584,True,6.059047129674623,3.27391298489618,0.5403346293284226,0.572281588013499
29,0.34504552583996406,1.8807104027830368,6.882839534801125,66.9367711021684,True,3.928280017233999,2.9722041192804154,0.7566171724624711,0.5543631253464523
30,0.4273403516726424,1.634762615048834,9.8945777783943,131.79128866690232,True,6.059000195927596,2.045902804115954,0.33766343257276277,0.6479384414481819
31,0.43877646279522176,2.1816295068855664,8.498350693938336,82.93349641150103,True,4.82787335157036,2.520620342612107,0.5220974452016697,0.6555335817824397
32,0.30158121074774363,1.2403092665708666,5.809147035157316,50.948369594673046,True,3.004505735921207,2.708967087576635,0.9016348530105378,0.43140116331606126
33,0.3845856098031255,1.417489847646599,7.202045422542593,102.06397382580366,True,5.957212941998443,3.4017999330268887,0.5710388341239486,0.5677497431332017
34,0.4349585224668745,2.0196382724222928,7.661086323863749,94.14127715000349,True,5.496344379945432,2.5392462861789515,0.4619882071880222,0.6646829901829991
35,0.4474936340418788,1.7301319697542341,5.445310867725125,71.84427223764308,True,4.243805302823332,3.8705522578414597,0.9120475567685555,0.4600850366271696
36,0.37209975340091017,2.2500497682526808,11.793342155013287,82.06156974188877,True,4.680441464649378,1.1809826021917618,0.2523229082366554,0.7716057050882283
37,0.4154526925258741,1.6772337909400896,5.300868540379028,76.23967276526722,True,4.503726836356413,3.818777330335984,0.8479149533468233,0.47550160047976586
38,0.37782307882743515,1.7668344728923457,2.2644571212943228,63.06474919581321,True,3.7672085892951275,3.6011010920609587,0.9559070082537562,0.4639454977702644
39,0.4412210951283737,1.815505433023981,11.961365026928565,107.8804108628637,True,6.0567553235453255,2.57893966133728,0.4257955825476034,0.6719576824527418
40,0.37485084201959373,1.0788129911161468,4.603848930045526,64.03831643497207,True,3.7978706396561654,3.5601600985896056,0.937409521381676,0.4259479360901781
41,0.4423878375401017,2.003971808287103,8.170851051284338,99.6436286837571,True,5.799004541505517,2.459575945479412,0.42413761325333704,0.6714980707126297
42,0.3341180431941101,1.8685353254536976,5.588545410809299,75.22182242918457,True,4.438376843122924,2.4467987331266885,0.5512823312688959,0.6446973506706279
43,0.44402824296730176,1.8850479673224634,5.314176960912089,133.87797902212736,True,6.059066628096629,1.7129110737638167,0.2827021353125314,0.6671573509732429
44,0.33402301674989976,1.2272557183269581,7.745541613668726,60.09131263912444,True,3.5072875388275744,3.011273515248054,0.8585761737273103,0.44563472269432536
45,0.32165928263827537,1.8588299150202265,11.817405708198066,94.04078319266762,True,5.372570374922856,1.1746372182799814,0.21863598544241458,0.7544853913634939
